,ano_eleicao,nr_turno,nr_candidato,nm_urna_candidato,uf,votos,perc_votos
4588,2022,1,14,ROBERTO JEFFERSON,MS,1057,0.07
4589,2022,1,14,PADRE KELMON,MS,1057,0.07
4590,2022,1,30,FELIPE D AVILA,MS,5193,0.34
4591,2022,1,22,JAIR BOLSONARO,MS,794206,52.7
4592,2022,1,44,SORAYA THRONICKE,MS,8082,0.54
4593,2022,1,80,LÉO PÉRICLES,MS,350,0.02
4594,2022,1,16,VERA,MS,222,0.01
4595,2022,1,15,SIMONE TEBET,MS,79719,5.29
4596,2022,1,21,SOFIA MANZANO,MT,406,0.02
4597,2022,1,27,CONSTITUINTE EYMAEL,MT,195,0.01
4598,2022,1,13,LULA,MT,633748,34.39
4599,2022,1,12,CIRO GOMES,MT,29437,1.6
4600,2022,1,14,ROBERTO JEFFERSON,MT,2545,0.14
4601,2022,1,14,PADRE KELMON,MT,2545,0.14
4602,2022,1,30,FELIPE D AVILA,MT,4371,0.24
4603,2022,1,22,JAIR BOLSONARO,MT,1102866,59.84
4604,2022,1,44,SORAYA THRONICKE,MT,12715,0.69
4605,2022,1,80,LÉO PÉRICLES,MT,366,0.02
4606,2022,1,16,VERA,MT,250,0.01
4607,2022,1,15,SIMONE TEBET,MT,55989,3.04
4608,2022,1,21,SOFIA MANZANO,PA,920,0.02
4609,2022,1,27,CONSTITUINTE EYMAEL,PA,349,0.01
4610,2022,1,13,LULA,PA,2443730,52.22
4611,2022,1,12,CIRO GOMES,PA,116057,2.48
4612,2022,1,14,ROBERTO JEFFERSON,PA,2783,0.06
4613,2022,1,14,PADRE KELMON,PA,2783,0.06
4614,2022,1,30,FELIPE D AVILA,PA,6130,0.13
4615,2022,1,22,JAIR BOLSONARO,PA,1884673,40.27
4616,2022,1,44,SORAYA THRONICKE,PA,19297,0.41
4617,2022,1,80,LÉO PÉRICLES,PA,1004,0.02
4618,2022,1,16,VERA,PA,918,0.02
4619,2022,1,15,SIMONE TEBET,PA,204075,4.36
4620,2022,1,21,SOFIA MANZANO,PB,634,0.03
4621,2022,1,27,CONSTITUINTE EYMAEL,PB,283,0.01
4622,2022,1,13,LULA,PB,1554868,64.21
4623,2022,1,12,CIRO GOMES,PB,76225,3.15
4624,2022,1,14,ROBERTO JEFFERSON,PB,1489,0.06
4625,2022,1,14,PADRE KELMON,PB,1489,0.06
4626,2022,1,30,FELIPE D AVILA,PB,3996,0.17
4627,2022,1,22,JAIR BOLSONARO,PB,717416,29.62
4628,2022,1,44,SORAYA THRONICKE,PB,8713,0.36
4629,2022,1,80,LÉO PÉRICLES,PB,578,0.02
4630,2022,1,16,VERA,PB,332,0.01
4631,2022,1,15,SIMONE TEBET,PB,57154,2.36
4632,2022,1,21,SOFIA MANZANO,PE,1419,0.03
4633,2022,1,27,CONSTITUINTE EYMAEL,PE,456,0.01
4634,2022,1,13,LULA,PE,3558322,65.27
